Name,Brand,Model,Year,KM Driven,Fuel,Transmission,Ownership,Price,Location
Maruti Swift Dzire,Maruti,Swift Dzire,2016,109134,Petrol,Manual,1,365000,"Kompally, Hyderabad"
Ford Ecosport,Ford,Ecosport,2016,114002,Diesel,Manual,1,362000,"Kompally, Hyderabad"
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,2014,93275,Petrol,Manual,2,179000,"Kompally, Hyderabad"
Hyundai NEW I20,Hyundai,NEW I20,2023,33459,Petrol,Auto,1,696000,"Kompally, Hyderabad"
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,2013,58604,Petrol,Manual,1,182000,"Bachupally, Hyderabad"
Hyundai VENUE,Hyundai,VENUE,2019,38173,CNG,Manual,1,607110,"Kompally, Hyderabad"
Maruti Swift,Maruti,Swift,2019,72472,Petrol,Auto,1,460000,"Kompally, Hyderabad"
Honda City,Honda,City,2017,31952,Petrol,Manual,1,590000,"Upperpally, Attapur, Hyderabad"
Tata Zest,Tata,Zest,2014,77853,Petrol,Manual,2,244000,"Kompally, Hyderabad"
Honda Amaze,Honda,Amaze,2020,115246,Diesel,Manual,1,509012,"Bachupally, Hyderabad"
Maruti Swift,Maruti,Swift,2019,61441,Diesel,Auto,1,591000,"Upperpally, Attapur, Hyderabad"
Maruti Alto 800,Maruti,Alto 800,2016,78236,Petrol,Manual,1,195000,"Kompally, Hyderabad"
Nissan MAGNITE,Nissan,MAGNITE,2023,66088,Petrol,Manual,1,575000,"GVK One Mall, Banjara Hills, Hyderabad, Telangana "
Ford Figo Aspire,Ford,Figo Aspire,2020,49821,Diesel,Manual,2,470000,"Kompally, Hyderabad"
Maruti Alto 800,Maruti,Alto 800,2015,105458,Petrol,Manual,2,147000,"Bachupally, Hyderabad"
Nissan Terrano,Nissan,Terrano,2014,88332,Diesel,Manual,2,352000,"Kompally, Hyderabad"
Nissan Micra,Nissan,Micra,2017,95362,Petrol,Auto,1,281000,"Upperpally, Attapur, Hyderabad"
Honda Amaze,Honda,Amaze,2018,65631,Diesel,Auto,3,548961,"Kompally, Hyderabad"
Tata NEXON,Tata,NEXON,2018,78154,Diesel,Manual,1,571807,"Kompally, Hyderabad"
Maruti Swift Dzire,Maruti,Swift Dzire,2012,97772,Petrol,Manual,1,203000,"Upperpally, Attapur, Hyderabad"
Mahindra XUV700,Mahindra,XUV700,2022,50475,Petrol,Auto,1,1320000,"Kompally, Hyderabad"
Honda Amaze,Honda,Amaze,2016,92676,Diesel,Manual,2,315000,"Kompally, Hyderabad"
Tata NEXON,Tata,NEXON,2019,84643,Petrol,Auto,3,542000,"Bachupally, Hyderabad"
Honda City,Honda,City,2016,120087,Diesel,Manual,1,452000,"Kompally, Hyderabad"
Maruti Swift,Maruti,Swift,2019,53434,Petrol,Manual,2,425000,"Kompally, Hyderabad"
Renault Kwid,Renault,Kwid,2019,63437,Petrol,Auto,1,261000,"Kompally, Hyderabad"
Maruti Vitara Brezza,Maruti,Vitara Brezza,2019,82715,Diesel,Manual,1,737301,"Kompally, Hyderabad"
Nissan MAGNITE,Nissan,MAGNITE,2022,45514,Petrol,Auto,2,606000,"Kompally, Hyderabad"
Maruti Alto 800,Maruti,Alto 800,2012,64089,Petrol,Manual,1,144000,"Upperpally, Attapur, Hyderabad"
Volkswagen Vento,Volkswagen,Vento,2018,67039,Petrol,Auto,1,609000,"Kompally, Hyderabad"
Maruti Dzire,Maruti,Dzire,2019,44837,Diesel,Auto,1,550000,"Upperpally, Attapur, Hyderabad"
Toyota Urban Cruiser Taisor,Toyota,Urban Cruiser Taisor,2024,25618,Petrol,Auto,1,946680,"Kompally, Hyderabad"
Hyundai Xcent,Hyundai,Xcent,2015,114980,Petrol,Manual,1,356892,"Kompally, Hyderabad"
Honda WR-V,Honda,WR-V,2018,67821,Petrol,Manual,2,430000,"Kompally, Hyderabad"
Hyundai Elite i20,Hyundai,Elite i20,2017,94615,Petrol,Manual,2,406175,"Kompally, Hyderabad"
Ford FREESTYLE,Ford,FREESTYLE,2018,111118,Diesel,Manual,1,401000,"GVK One Mall, Banjara Hills, Hyderabad, Telangana "
Maruti Baleno,Maruti,Baleno,2018,89538,Petrol,Manual,1,410225,"Kompally, Hyderabad"
Mahindra Scorpio,Mahindra,Scorpio,2021,24774,Diesel,Manual,1,1026295,"Bachupally, Hyderabad"
Ford FREESTYLE,Ford,FREESTYLE,2020,114560,Petrol,Manual,1,381000,"Kompally, Hyderabad"
Hyundai Elite i20,Hyundai,Elite i20,2015,55093,Petrol,Manual,1,407000,"Bachupally, Hyderabad"
Hyundai Grand i10,Hyundai,Grand i10,2018,31035,Petrol,Manual,1,394000,"GVK One Mall, Banjara Hills, Hyderabad, Telangana "
Renault Kwid,Renault,Kwid,2016,46196,Petrol,Manual,1,248586,"Bachupally, Hyderabad"
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,2017,66046,Petrol,Manual,3,292278,"Bachupally, Hyderabad"
Hyundai VENUE,Hyundai,VENUE,2021,68193,Petrol,Manual,1,645000,"Kompally, Hyderabad"
Maruti S PRESSO,Maruti,S PRESSO,2019,14562,Petrol,Auto,1,318000,"Bachupally, Hyderabad"
Maruti Swift Dzire,Maruti,Swift Dzire,2017,74134,Petrol,Manual,1,449231,"Bachupally, Hyderabad"
Maruti Baleno,Maruti,Baleno,2021,44246,Petrol,Auto,2,594000,"Kompally, Hyderabad"
Renault Kwid,Renault,Kwid,2017,33884,Petrol,Auto,1,265000,"Bachupally, Hyderabad"
Hyundai i10,Hyundai,i10,2012,63545,Petrol,Manual,2,183000,"Bachupally, Hyderabad"
Mahindra MARAZZO,Mahindra,MARAZZO,2019,73962,Diesel,Manual,1,578000,"Upperpally, Attapur, Hyderabad"
Hyundai Grand i10,Hyundai,Grand i10,2014,71303,Petrol,Manual,1,279000,"Kompally, Hyderabad"
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,2012,81230,Petrol,Manual,1,173000,"Kompally, Hyderabad"
Mahindra MARAZZO,Mahindra,MARAZZO,2019,77798,Diesel,Manual,1,565000,"Kompally, Hyderabad"
